language,project,merge_sha,file,tool,conflicts,classification
csharp,AutoMapper,8d4142a1,src/UnitTests/MaxDepthTests.cs,csdiff,6,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/MaxDepthTests.cs,sepmerge,4,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/OpenGenerics.cs,diff3,5,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/OpenGenerics.cs,csdiff,5,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/OpenGenerics.cs,sepmerge,5,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/ValueTransformers.cs,diff3,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/ValueTransformers.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/ValueTransformers.cs,sepmerge,1,reportou_conflito
csharp,AutoMapper,91e4fa31,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,diff3,0,correct
csharp,AutoMapper,91e4fa31,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,csdiff,0,merge_diferente
csharp,AutoMapper,91e4fa31,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,97b9649f,src/AutoMapper/QueryableExtensions/ExpressionBuilder.cs,diff3,0,correct
csharp,AutoMapper,97b9649f,src/AutoMapper/QueryableExtensions/ExpressionBuilder.cs,csdiff,0,merge_diferente
csharp,AutoMapper,97b9649f,src/AutoMapper/QueryableExtensions/ExpressionBuilder.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,b9f7f21a,src/AutoMapper/Mapper.cs,diff3,2,reportou_conflito
csharp,AutoMapper,b9f7f21a,src/AutoMapper/Mapper.cs,csdiff,0,merge_diferente
csharp,AutoMapper,b9f7f21a,src/AutoMapper/Mapper.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,b9f7f21a,src/UnitTests/StaticMapping.cs,diff3,1,reportou_conflito
csharp,AutoMapper,b9f7f21a,src/UnitTests/StaticMapping.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,b9f7f21a,src/UnitTests/StaticMapping.cs,sepmerge,0,vazio
csharp,AutoMapper,f11fa047,src/AutoMapper/ResolutionContext.cs,diff3,0,correct
csharp,AutoMapper,f11fa047,src/AutoMapper/ResolutionContext.cs,csdiff,0,merge_diferente
csharp,AutoMapper,f11fa047,src/AutoMapper/ResolutionContext.cs,sepmerge,0,merge_diferente
csharp,Avalonia,06b336d55,src/Avalonia.Base/Media/TextFormatting/TextLineImpl.cs,diff3,0,correct
csharp,Avalonia,06b336d55,src/Avalonia.Base/Media/TextFormatting/TextLineImpl.cs,csdiff,0,merge_diferente
csharp,Avalonia,06b336d55,src/Avalonia.Base/Media/TextFormatting/TextLineImpl.cs,sepmerge,0,correct
csharp,Avalonia,0dcdeab52,src/Avalonia.Controls/TextBlock.cs,diff3,0,correct
csharp,Avalonia,0dcdeab52,src/Avalonia.Controls/TextBlock.cs,csdiff,0,merge_diferente
csharp,Avalonia,0dcdeab52,src/Avalonia.Controls/TextBlock.cs,sepmerge,0,correct
csharp,Avalonia,87444d958,tests/Avalonia.Controls.UnitTests/TextBlockTests.cs,diff3,0,correct
csharp,Avalonia,87444d958,tests/Avalonia.Controls.UnitTests/TextBlockTests.cs,csdiff,0,merge_diferente
csharp,Avalonia,87444d958,tests/Avalonia.Controls.UnitTests/TextBlockTests.cs,sepmerge,0,correct
csharp,Avalonia,c8da11fa0,src/Headless/Avalonia.Headless/HeadlessPlatformRenderInterface.cs,diff3,0,correct
csharp,Avalonia,c8da11fa0,src/Headless/Avalonia.Headless/HeadlessPlatformRenderInterface.cs,csdiff,0,merge_diferente
csharp,Avalonia,c8da11fa0,src/Headless/Avalonia.Headless/HeadlessPlatformRenderInterface.cs,sepmerge,0,correct
csharp,Avalonia,c8da11fa0,src/Skia/Avalonia.Skia/DrawingContextImpl.cs,diff3,0,correct
csharp,Avalonia,c8da11fa0,src/Skia/Avalonia.Skia/DrawingContextImpl.cs,csdiff,0,merge_diferente
csharp,Avalonia,c8da11fa0,src/Skia/Avalonia.Skia/DrawingContextImpl.cs,sepmerge,0,correct
csharp,Avalonia,e32cf66ab,src/Windows/Avalonia.Win32/Interop/UnmanagedMethods.cs,diff3,0,correct
csharp,Avalonia,e32cf66ab,src/Windows/Avalonia.Win32/Interop/UnmanagedMethods.cs,csdiff,0,merge_diferente
csharp,Avalonia,e32cf66ab,src/Windows/Avalonia.Win32/Interop/UnmanagedMethods.cs,sepmerge,0,correct
csharp,Dapper,3387019,Dapper/SqlMapper.cs,diff3,0,correct
csharp,Dapper,3387019,Dapper/SqlMapper.cs,csdiff,0,merge_diferente
csharp,Dapper,3387019,Dapper/SqlMapper.cs,sepmerge,0,correct
csharp,Dapper,33870194,Dapper/SqlMapper.cs,diff3,0,correct
csharp,Dapper,33870194,Dapper/SqlMapper.cs,csdiff,0,merge_diferente
csharp,Dapper,33870194,Dapper/SqlMapper.cs,sepmerge,0,correct
csharp,Dapper,62b3c91,Dapper.Rainbow/Database.cs,diff3,1,reportou_conflito
csharp,Dapper,62b3c91,Dapper.Rainbow/Database.cs,csdiff,1,reportou_conflito
csharp,Dapper,62b3c91,Dapper.Rainbow/Database.cs,sepmerge,1,reportou_conflito
csharp,Dapper,62b3c916,Dapper.Rainbow/Database.cs,diff3,1,reportou_conflito
csharp,Dapper,62b3c916,Dapper.Rainbow/Database.cs,csdiff,1,reportou_conflito
csharp,Dapper,62b3c916,Dapper.Rainbow/Database.cs,sepmerge,1,reportou_conflito
csharp,Dapper,a12c37a,Dapper/SqlMapper.cs,diff3,0,correct
csharp,Dapper,a12c37a,Dapper/SqlMapper.cs,csdiff,0,merge_diferente
csharp,Dapper,a12c37a,Dapper/SqlMapper.cs,sepmerge,0,correct
csharp,Dapper,a12c37ad,Dapper/SqlMapper.cs,diff3,0,correct
csharp,Dapper,a12c37ad,Dapper/SqlMapper.cs,csdiff,0,merge_diferente
csharp,Dapper,a12c37ad,Dapper/SqlMapper.cs,sepmerge,0,correct
csharp,Dapper,d9fed73,Dapper/SqlMapper.cs,diff3,2,reportou_conflito
csharp,Dapper,d9fed73,Dapper/SqlMapper.cs,csdiff,2,reportou_conflito
csharp,Dapper,d9fed73,Dapper/SqlMapper.cs,sepmerge,2,reportou_conflito
csharp,Dapper,d9fed73,tests/Dapper.Tests/DateTimeOnlyTests.cs,diff3,14,reportou_conflito
csharp,Dapper,d9fed73,tests/Dapper.Tests/DateTimeOnlyTests.cs,csdiff,19,reportou_conflito
csharp,Dapper,d9fed73,tests/Dapper.Tests/DateTimeOnlyTests.cs,sepmerge,14,reportou_conflito
csharp,Dapper,d9fed73d,Dapper/SqlMapper.cs,diff3,2,reportou_conflito
csharp,Dapper,d9fed73d,Dapper/SqlMapper.cs,csdiff,2,reportou_conflito
csharp,Dapper,d9fed73d,Dapper/SqlMapper.cs,sepmerge,2,reportou_conflito
